51;34;1;2227
34;19;1;2227
19;6;1;2227
6;35;1;2227
35;36;1;2227
36;38;1;2227
38;21;1;2227
21;44;2;2227
44;28;2;2227
28;45;2;2227
45;21;2;2227
21;27;1;2227
23;51;1;2227
27;23;1;2227
51;18;1;3901
18;12;1;3901
12;30;1;3901
30;37;2;3901
37;30;2;3901
30;1;1;3901
1;42;1;3901
42;43;1;3901
43;11;1;3901
11;16;1;3901
16;25;1;3901
25;33;1;3901
48;51;1;3901
33;48;1;3901
51;22;1;3902
22;41;1;3902
41;2;1;3902
2;2;1;3902
2;26;2;3902
26;5;2;3902
5;2;2;3902
2;17;1;3902
17;24;1;3902
24;32;1;3902
32;7;1;3902
7;13;1;3902
13;49;1;3902
49;50;1;3902
50;4;1;3902
4;20;1;3902
8;51;1;3902
20;8;1;3902
51;15;1;7136
15;31;1;7136
31;3;1;7136
3;14;1;7136
14;9;1;7136
9;10;2;7136
10;9;2;7136
9;47;1;7136
47;46;1;7136
46;29;2;7136
29;40;2;7136
40;46;2;7136
39;51;1;7136
46;39;1;7136
