51;27;1;407
27;35;1;407
35;9;1;407
9;9;1;407
9;40;2;407
40;9;2;407
9;36;1;407
36;33;2;407
33;36;2;407
36;1;1;407
1;43;1;407
43;38;1;407
38;11;1;407
11;2;1;407
17;51;1;407
2;17;1;407
51;5;1;3293
5;19;2;3293
19;5;2;3293
5;24;1;3293
24;44;1;3293
44;30;1;3293
30;41;1;3293
41;50;1;3293
50;47;1;3293
47;48;1;3293
48;16;1;3293
16;6;1;3293
6;13;1;3293
10;51;1;3293
13;10;1;3293
51;28;1;10004
28;12;1;10004
12;45;1;10004
45;8;1;10004
8;15;1;10004
15;39;1;10004
39;42;1;10004
42;25;1;10004
25;4;1;10004
4;14;1;10004
14;20;1;10004
20;18;1;10004
29;51;1;10004
18;29;1;10004
51;37;1;10265
37;31;1;10265
31;34;1;10265
34;23;2;10265
23;3;2;10265
3;34;2;10265
34;46;1;10265
46;32;1;10265
32;7;1;10265
7;21;1;10265
21;22;1;10265
22;26;1;10265
49;51;1;10265
26;49;1;10265
