51;11;1;284
11;14;1;284
14;15;1;284
15;23;1;284
23;26;1;284
26;1;1;284
1;45;1;284
45;27;1;284
27;4;1;284
4;25;1;284
25;33;1;284
33;33;1;284
33;21;2;284
21;33;2;284
12;51;1;284
33;12;1;284
51;8;1;6902
8;37;1;6902
37;42;1;6902
42;28;1;6902
28;46;1;6902
46;7;2;6902
7;41;2;6902
41;17;2;6902
17;46;2;6902
46;3;1;6902
3;48;1;6902
48;30;1;6902
50;51;1;6902
30;50;1;6902
51;49;1;7575
49;6;1;7575
6;16;1;7575
16;22;1;7575
22;24;1;7575
24;29;1;7575
29;32;1;7575
32;34;1;7575
34;13;1;7575
13;19;1;7575
19;2;2;7575
2;19;2;7575
31;51;1;7575
19;31;1;7575
51;40;1;8708
40;5;1;8708
5;38;1;8708
38;20;2;8708
20;38;2;8708
38;9;1;8708
9;43;1;8708
43;36;1;8708
36;35;1;8708
35;10;1;8708
10;47;1;8708
47;18;1;8708
18;39;2;8708
39;18;2;8708
44;51;1;8708
18;44;1;8708
